#Format
#name,type1,type2,hp,attack,defense,speed
Bulbasaur, grass, poison, 45, 49, 49, 45
Goldeen, water, none, 45, 67, 60, 63
Seaking, water, none, 80, 92, 65, 68
Staryu, water, none, 30, 45, 55, 85
Starmie, water, psychic, 60, 75, 85, 115
Mr. Mime, psychic, none, 40, 45, 65, 90
Scyther, bug, flying, 70, 110, 80, 105
Jynx, ice, psychic, 65, 50, 35, 95
Electabuzz, electric, none, 65, 83, 57, 105
Magmar, fire, none, 65, 95, 57, 93
Pinsir, bug, none, 65, 125, 100, 85
Tauros, normal, none, 75, 100, 95, 110
Magikarp, water, none, 20, 10, 55, 80
Gyarados, water, flying, 95, 125, 79, 81
Lapras, water, ice, 130, 85, 80, 60
Ditto, normal, none, 48, 48, 48, 48
Eevee, normal, none, 55, 55, 50, 55
Vaporeon, water, none, 130, 65, 60, 65
Jolteon, electric, none, 65, 65, 60, 130
Flareon, fire, none, 65, 130, 60, 65
Porygon, normal, none, 65, 60, 70, 40
Omanyte, rock, water, 35, 40, 100, 35
Omastar, rock, water, 70, 60, 125, 55
Kabuto, rock, water, 30, 80, 90, 55
Kabutops, rock, water, 60, 115, 105, 80
Aerodactyl, rock, flying, 80, 105, 65, 130
Snorlax, normal, none, 160, 110, 65, 30
Articuno, ice, flying, 90, 85, 100, 85
Zapdos, electric, flying, 90, 90, 85, 100
Moltres, fire, flying, 90, 100, 90, 90
Dratini, dragon, none, 41, 64, 45, 50
Dragonair, dragon, none, 61, 84, 65, 70
Dragonite, dragon, flying, 91, 134, 95, 80
Mewtwo, psychic, none, 106, 110, 90, 130
Mew, psychic, none, 100, 100, 100, 100
>>
